MCP,HA,astringency
0.56,0.11,4.1
1.6,0.28,5.2
1.35,0.37,6.8
0.52,0.1,4.5
2.65,0.21,4.1
1.27,0.08,4.7
1.06,0.16,5.8
0.94,0.15,5.2
0.79,0.05,3.9
0.87,0.09,5.3
1.18,0.3,5.7
0.25,0.05,3.9
1.27,0.33,5.3
0.23,0.01,5
0.19,0.01,4.9
0.88,0.08,4.4
1.5,0.17,4.8
3.45,0.47,6.2
3.27,0.33,6.4
5,3.31,7
5.85,1.54,6.6
5.59,1.02,6.8
0.88,3.34,6.6
5.22,3.66,6.4
0.96,0.07,4.8
1.36,0.08,4
0.92,0.1,4.3
1.53,0.13,4.1
1.06,0.15,5.6
1.27,0.12,5.3
1.28,0.12,4.8
1.14,0.36,5.6
2.17,0.46,5.9
4.43,1.16,6.9
2.45,0.56,6.1
3.26,0.35,6.2
3.33,0.75,6.6
